"","tSNE_1","tSNE_2"
"cell260_1",-33.6641102796521,6.75043640423477
"cell261_1",-15.4098869430463,-20.2372971970716
"cell262_1",-7.4554881927142,18.9621033620249
"cell263_1",-26.2835937297561,7.04282282234493
"cell264_1",0.782335977358803,-38.4194642450216
"cell265_1",-10.5680766722591,-5.03110006423352
"cell266_1",12.9824719196219,21.7691792803519
"cell267_1",-13.3422472271836,-2.31378305965204
"cell268_1",27.2334879655712,10.9287433339652
"cell269_1",-4.43723481747518,2.6459580184083
"cell270_1",9.38101678844256,27.3005290829607
"cell271_1",10.5892774850477,20.9767537266463
"cell272_1",-2.94431454656711,-20.8178647029269
"cell273_1",-0.231617987787564,-40.6392672690943
"cell274_1",16.3240664165182,13.5609209869917
"cell275_1",27.4765690338764,11.2631080031724
"cell276_1",-35.1541741923949,15.468399263652
"cell277_1",-37.2929765601122,-5.51732591549528
"cell278_1",-18.7155138550525,19.0168022933687
"cell279_1",-16.6527445162635,-10.8724403844109
"cell280_1",13.3024558234027,-20.380066057989
"cell281_1",-2.93210265081336,16.4869641837418
"cell282_1",-9.83817811434054,30.7691962160943
"cell283_1",3.067250518362,11.8992394059142
"cell284_1",-18.4714356210496,1.84002376120539
"cell285_1",-15.3551648559325,-0.437356038896357
"cell286_1",-18.3336465564084,12.7252892199619
"cell287_1",-12.8208704617843,8.15249039759381
"cell288_1",-0.0946071223698206,17.4878685906315
"cell289_1",-19.8808751235545,21.7222225180114
"cell290_1",-43.9746330164403,-5.23659601759651
"cell291_1",13.0249867807118,0.320058427241431
"cell292_1",-2.49061188350924,-3.58360093085794
"cell293_1",0.474134713235565,-17.2122683982741
"cell294_1",-12.6694751668414,-23.7712227813723
"cell295_1",-0.874159851402881,-24.6086112564382
"cell296_1",12.7851368224463,16.9244998560419
"cell297_1",15.2918496237422,-0.428875654566927
"cell298_1",-35.3205272338054,15.1357594246101
"cell299_1",5.34263438786164,-17.2183066434445
"cell300_1",-20.0753844032532,5.67364078370771
"cell301_1",-8.78264292545176,10.337663336853
"cell302_1",12.6815888394916,6.99914114483417
"cell303_1",-10.2825794184111,2.01408839451449
"cell304_1",19.7795275488529,-19.7919929059289
"cell305_1",27.105703505687,7.08478571762562
"cell306_1",-4.40409205707544,26.4070488690815
"cell307_1",-6.5549825888076,-4.79308503711942
"cell308_1",-40.7638262305539,-1.70062467779421
"cell309_1",-40.1852456172635,5.55370289196566
"cell310_1",-26.5681402227622,-27.4686153850194
"cell311_1",-17.0065058129058,-22.597215653678
"cell312_1",3.90455769751286,17.345897823344
"cell313_1",-1.62165027828392,13.7655045339881
"cell314_1",-18.7894980996539,-3.67575210265724
"cell315_1",18.309669481142,-27.5334128949459
"cell316_1",-6.9604783957588,-13.852371762641
"cell317_1",21.6583345262384,27.0093161328547
"cell318_1",5.83351916748905,15.7519687093036
"cell319_1",-10.6354645973578,12.7188763534622
"cell320_1",-11.0949813102046,11.7355122856939
"cell321_1",-14.1531570394028,-35.6086813526904
"cell322_1",-18.4117145470116,-1.85862493558816
"cell323_1",-16.1239988931516,18.4419940138519
"cell324_1",-1.95111120754446,-29.7676911920555
"cell325_1",-0.00999143317881442,-8.20087487520061
"cell326_1",-4.41487291851456,-6.17149015104593
"cell327_1",-38.9898650824776,-8.11729614502438
"cell328_1",11.0297749885703,-30.2296494021271
"cell329_1",-12.1319104580769,-22.8736138608786
"cell330_1",-5.74741970118377,-41.411412915303
"cell331_1",-3.12713086143815,-34.3221500164834
"cell332_1",-40.1723704155164,8.34449235244251
"cell333_1",15.9456854752026,8.11386616540492
"cell334_1",-1.17709582049222,-10.6946638011048
"cell335_1",17.1549008770688,18.2832705670662
"cell336_1",16.440719809538,33.7880329340761
"cell337_1",10.6871990584526,12.8692755341487
"cell338_1",-13.7268983272411,-5.27833178852766
"cell339_1",16.3031987149822,34.2830528100373
"cell340_1",-11.6763271104209,-26.0047885042
"cell341_1",0.536600981092085,2.56978145310221
"cell342_1",-36.9206752792438,-3.38456011331053
"cell343_1",-1.10846978239421,-10.4651700425468
"cell344_1",31.3970706968988,-17.8328134551154
"cell345_1",0.906007516578661,12.4677009924242
"cell346_1",13.0161382616709,18.3848976470847
"cell347_1",-7.47707303020412,27.2587724616346
"cell348_1",-15.5854480093841,16.5002436427753
"cell349_1",-15.1691891403351,-0.100817619744276
"cell350_1",16.4522094091877,-5.09954304203746
"cell351_1",-9.84585410030669,-26.1805503943903
"cell352_1",-3.45358974388034,6.50919982126115
"cell353_1",14.5535267649976,16.1530482288472
"cell354_1",-6.96882719135331,-39.1405564414796
"cell355_1",-15.1771918732086,-3.50558114693183
"cell356_1",-15.1419206464661,-34.8890512278096
"cell357_1",-5.81169921050663,-16.4832661265869
"cell358_1",-9.76085142761023,0.0829804380479549
"cell359_1",11.6569927762756,8.98051860512022
"cell360_1",27.2285091171991,-0.701680212502289
"cell361_1",-10.7664888343417,-28.6899762249005
"cell362_1",-5.98395574914349,-6.33692735201374
"cell363_1",-6.50542641444698,4.75407146029496
"cell364_1",11.9327906932568,9.26756649093768
"cell365_1",-23.7933864570133,19.6743396135392
"cell366_1",2.62843491753059,-9.25570742095823
"cell367_1",-15.3247999540603,21.0325682152503
"cell368_1",-7.75639482751153,14.2392480959572
"cell369_1",25.9912867082669,-5.82420665002212
"cell370_1",12.4556636646545,12.5441360360122
